"date","geography","geography code","Number of households: Number of households; measures: Value"
"2021","E00060502","E00060502",115
"2021","E00060503","E00060503",241
"2021","E00060505","E00060505",119
"2021","E00060507","E00060507",117
"2021","E00174096","E00174096",100
"2021","E00174104","E00174104",128
"2021","E00060495","E00060495",124
"2021","E00060500","E00060500",126
"2021","E00060501","E00060501",128
"2021","E00060504","E00060504",242
"2021","E00188226","E00188226",88
"2021","E00188269","E00188269",111
"2021","E00188271","E00188271",112
"2021","E00060317","E00060317",121
"2021","E00060321","E00060321",125
"2021","E00060325","E00060325",125
"2021","E00060329","E00060329",121
"2021","E00060336","E00060336",122
"2021","E00060318","E00060318",124
"2021","E00060319","E00060319",134
"2021","E00060322","E00060322",125
"2021","E00060328","E00060328",107
"2021","E00060331","E00060331",122
"2021","E00060401","E00060401",121
"2021","E00060402","E00060402",128
"2021","E00060404","E00060404",119
"2021","E00060414","E00060414",113
"2021","E00060415","E00060415",125
"2021","E00060416","E00060416",131
"2021","E00060403","E00060403",123
"2021","E00060408","E00060408",202
"2021","E00060409","E00060409",136
"2021","E00060411","E00060411",123
"2021","E00060412","E00060412",134
"2021","E00060413","E00060413",83
"2021","E00060400","E00060400",126
"2021","E00060405","E00060405",135
"2021","E00060406","E00060406",124
"2021","E00060407","E00060407",117
"2021","E00060410","E00060410",122
"2021","E00060311","E00060311",123
"2021","E00060312","E00060312",131
"2021","E00060313","E00060313",94
"2021","E00060315","E00060315",121
"2021","E00060316","E00060316",232
"2021","E00188179","E00188179",138
"2021","E00188246","E00188246",149
"2021","E00188283","E00188283",144
"2021","E00060330","E00060330",130
"2021","E00060332","E00060332",130
"2021","E00060333","E00060333",112
"2021","E00060334","E00060334",122
"2021","E00060335","E00060335",118
"2021","E00060320","E00060320",135
"2021","E00060323","E00060323",143
"2021","E00060324","E00060324",131
"2021","E00060326","E00060326",126
"2021","E00060327","E00060327",127
"2021","E00060355","E00060355",131
"2021","E00060356","E00060356",134
"2021","E00060357","E00060357",135
"2021","E00060358","E00060358",152
"2021","E00060359","E00060359",141
"2021","E00060360","E00060360",133
"2021","E00060361","E00060361",127
"2021","E00060428","E00060428",145
"2021","E00060429","E00060429",121
"2021","E00060430","E00060430",119
"2021","E00188288","E00188288",149
"2021","E00188302","E00188302",142
"2021","E00060536","E00060536",156
"2021","E00060537","E00060537",126
"2021","E00060543","E00060543",155
"2021","E00060546","E00060546",123
"2021","E00060549","E00060549",194
"2021","E00060535","E00060535",123
"2021","E00060541","E00060541",122
"2021","E00060553","E00060553",159
"2021","E00174090","E00174090",105
"2021","E00174091","E00174091",102
"2021","E00174103","E00174103",106
"2021","E00060338","E00060338",128
"2021","E00060339","E00060339",129
"2021","E00060347","E00060347",135
"2021","E00060349","E00060349",125
"2021","E00060352","E00060352",134
"2021","E00060341","E00060341",114
"2021","E00060342","E00060342",121
"2021","E00060343","E00060343",104
"2021","E00060344","E00060344",127
"2021","E00060345","E00060345",142
"2021","E00060386","E00060386",106
"2021","E00060387","E00060387",96
"2021","E00060390","E00060390",112
"2021","E00174083","E00174083",113
"2021","E00174084","E00174084",110
"2021","E00174085","E00174085",124
"2021","E00174086","E00174086",171
"2021","E00174087","E00174087",74
"2021","E00060381","E00060381",88
"2021","E00060385","E00060385",110
"2021","E00060388","E00060388",75
"2021","E00060393","E00060393",102
"2021","E00060395","E00060395",68
"2021","E00060396","E00060396",119
"2021","E00060417","E00060417",118
"2021","E00060418","E00060418",171
"2021","E00060426","E00060426",131
"2021","E00174088","E00174088",104
"2021","E00174097","E00174097",128
"2021","E00060534","E00060534",161
"2021","E00060544","E00060544",122
"2021","E00060545","E00060545",125
"2021","E00060547","E00060547",107
"2021","E00060548","E00060548",117
"2021","E00060379","E00060379",105
"2021","E00060382","E00060382",77
"2021","E00060383","E00060383",97
"2021","E00060384","E00060384",118
"2021","E00060391","E00060391",89
"2021","E00060392","E00060392",82
"2021","E00060394","E00060394",88
"2021","E00060397","E00060397",77
"2021","E00060398","E00060398",95
"2021","E00060399","E00060399",108
"2021","E00060865","E00060865",146
